avg_returned_edges,filter_f1,filter_precision,filter_recall,injector,noise_ratio,retrieval_noise_rate_at_k,strategy,threshold
3.2916666666666665,0.0,0.0,0.0,random,0.1,0.08860759493670886,baseline,
3.2916666666666665,0.0,0.0,0.0,random,0.1,0.08860759493670886,soft,
3.0,1.0,1.0,1.0,random,0.1,0.0,hard,0.1
3.0,1.0,1.0,1.0,random,0.1,0.0,hard,0.2
3.0,1.0,1.0,1.0,random,0.1,0.0,hard,0.3
3.0,1.0,1.0,1.0,random,0.1,0.0,hard,0.4
3.0,1.0,1.0,1.0,random,0.1,0.0,hard,0.5
3.4583333333333335,0.0,0.0,0.0,random,0.2,0.1566265060240964,baseline,
3.4583333333333335,0.0,0.0,0.0,random,0.2,0.13253012048192772,soft,
3.0,1.0,1.0,1.0,random,0.2,0.0,hard,0.1
3.0,1.0,1.0,1.0,random,0.2,0.0,hard,0.2
3.0,1.0,1.0,1.0,random,0.2,0.0,hard,0.3
3.0,1.0,1.0,1.0,random,0.2,0.0,hard,0.4
3.0,1.0,1.0,1.0,random,0.2,0.0,hard,0.5
3.75,0.0,0.0,0.0,random,0.3,0.2222222222222222,baseline,
3.75,0.0,0.0,0.0,random,0.3,0.2,soft,
3.0,1.0,1.0,1.0,random,0.3,0.0,hard,0.1
3.0,1.0,1.0,1.0,random,0.3,0.0,hard,0.2
3.0,1.0,1.0,1.0,random,0.3,0.0,hard,0.3
3.0,1.0,1.0,1.0,random,0.3,0.0,hard,0.4
3.0,1.0,1.0,1.0,random,0.3,0.0,hard,0.5
3.2916666666666665,0.0,0.0,0.0,contradictory,0.1,0.08860759493670886,baseline,
3.2916666666666665,0.0,0.0,0.0,contradictory,0.1,0.08860759493670886,soft,
3.0,1.0,1.0,1.0,contradictory,0.1,0.0,hard,0.1
3.0,1.0,1.0,1.0,contradictory,0.1,0.0,hard,0.2
3.0,1.0,1.0,1.0,contradictory,0.1,0.0,hard,0.3
3.0,1.0,1.0,1.0,contradictory,0.1,0.0,hard,0.4
3.0,1.0,1.0,1.0,contradictory,0.1,0.0,hard,0.5
3.5833333333333335,0.0,0.0,0.0,contradictory,0.2,0.16279069767441862,baseline,
3.5833333333333335,0.0,0.0,0.0,contradictory,0.2,0.16279069767441862,soft,
3.0,1.0,1.0,1.0,contradictory,0.2,0.0,hard,0.1
3.0,1.0,1.0,1.0,contradictory,0.2,0.0,hard,0.2
3.0,1.0,1.0,1.0,contradictory,0.2,0.0,hard,0.3
3.0,1.0,1.0,1.0,contradictory,0.2,0.0,hard,0.4
3.0,1.0,1.0,1.0,contradictory,0.2,0.0,hard,0.5
3.8333333333333335,0.0,0.0,0.0,contradictory,0.3,0.22826086956521738,baseline,
3.8333333333333335,0.0,0.0,0.0,contradictory,0.3,0.21739130434782608,soft,
3.0,1.0,1.0,1.0,contradictory,0.3,0.0,hard,0.1
3.0,1.0,1.0,1.0,contradictory,0.3,0.0,hard,0.2
3.0,1.0,1.0,1.0,contradictory,0.3,0.0,hard,0.3
3.0,1.0,1.0,1.0,contradictory,0.3,0.0,hard,0.4
3.0,1.0,1.0,1.0,contradictory,0.3,0.0,hard,0.5
